year,city,product_type,farmer_number,total_area,amount
2008,BURSA,FASULYE,,,21
2008,BURSA,FESLEGEN,,,0
2008,BURSA,HIYAR,,,3
2008,BURSA,INCIR,,,75
2008,BURSA,KABAK,,,20
2008,BURSA,KAYISI,,,1
2008,BURSA,KEKIK,,,1
2008,BURSA,KESTANE,,,3
2008,BURSA,KIRAZ,,,755
2008,BURSA,PATLICAN,,,2
2008,BURSA,PIRASA,,,12
2008,BURSA,SEFTALI,,,779
2008,BURSA,UZUM,,,32
2008,BURSA,VISNE,,,513
2008,BURSA,AHUDUDU,,,363
2008,BURSA,BOGURTLEN,,,103
2008,BURSA,CEVIZ,,,437
2008,BURSA,NAR,,,1
2008,BURSA,SOGAN,,,1206
2008,BURSA,YULAF,,,1
2008,BURSA,ZEYTIN,,,32
2012,AFYONKARAHISAR,BAL KABAGI,,,5
2008,BURSA,BEZELYE,,,4
2008,BURSA,FIG,,,15
2008,BURSA,HAVUC,,,32
2008,BURSA,ISIRGAN OTU,,,0
2008,BURSA,KANTARON,,,0
2008,BURSA,KARPUZ,,,39
2008,BURSA,KAVUN,,,18
2008,BURSA,PATATES,,,37
2008,BURSA,YONCA,,,0
2008,BURSA,BORULCE,,,0
2008,BURSA,BROKOLI,,,12
2012,ANKARA,BAL KABAGI,,,64
2008,BURSA,EBEGUMECI,,,2
2008,BURSA,ENGINAR,,,1
2008,BURSA,IHLAMUR,,,2
2008,BURSA,KUSBURNU,,,1
2008,BURSA,MARUL,,,3
2008,BURSA,MISIR,,,2
2008,BURSA,MUSMULA,,,0
2008,BURSA,NANE,,,2
2008,BURSA,ROKA,,,2
2012,ARTVIN,BAL KABAGI,,,2
2008,BURSA,YABANI ERIK,,,0
2008,BURSA,CAVDAR,,,14
2008,BURSA,ZERDALI,,,0
2008,BURSA,ISPANAK,,,3
2012,AYDIN,BAL KABAGI,,,6
2012,BALIKESIR,BAL KABAGI,,,0
2008,BURSA,PAZI,,,0
2012,CANAKKALE,BAL KABAGI,,,6
2008,BURSA,TURP,,,3
2008,BURSA,BAMYA,,,1
2012,ELAZIG,BAL KABAGI,,,1
2008,BURSA,LAHANA,,,21
2008,BURSA,CENNET ELMASI,,,1
2008,BURSA,KAVAK,,,0
2008,BURSA,KEREVIZ,,,1
2012,ESKISEHIR,BAL KABAGI,,,6
2008,BURSA,SALGAM,,,0
2008,BURSA,TERE,,,1
2008,BURSA,YERFISTIGI,,,0
2008,BURSA,AKASYA,,,1
2008,BURSA,BAKLA,,,1
2008,BURSA,HUNNAP,,,0
2008,BURSA,YER ELMASI,,,0
2008,BURSA,LAHANA(BRUKSEL),,,1
2008,BURSA,LAHANA(KIRMIZI),,,1
2008,BURSA,MANTAR(KULTUR),,,330
2008,BURSA,DAG CILEGI,,,1
2008,CANAKKALE,ADACAYI,,,0
2008,CANAKKALE,ANTEPFISTIGI,,,2
2008,CANAKKALE,ARMUT,,,12
2008,CANAKKALE,AYVA,,,0
2008,CANAKKALE,BADEM,,,6
2008,CANAKKALE,BIBER,,,114
2008,CANAKKALE,BUGDAY,,,117
2008,CANAKKALE,CILEK,,,28
2008,CANAKKALE,DEFNE,,,0
2008,CANAKKALE,DOMATES,,,253
2008,CANAKKALE,DUT,,,0
2008,CANAKKALE,ELMA,,,3
2008,CANAKKALE,ERIK,,,40
2008,CANAKKALE,FASULYE,,,12
2008,CANAKKALE,FESLEGEN,,,2
2008,CANAKKALE,HIYAR,,,21
2008,CANAKKALE,INCIR,,,19
2008,CANAKKALE,KABAK,,,14
2008,CANAKKALE,KAYISI,,,12
2008,CANAKKALE,KEKIK,,,0
2008,CANAKKALE,KESTANE,,,0
2008,CANAKKALE,KIRAZ,,,42
2008,CANAKKALE,LIMON,,,0
2008,CANAKKALE,PATLICAN,,,28
2008,CANAKKALE,PIRASA,,,59
2008,CANAKKALE,SEFTALI,,,7
2008,CANAKKALE,UZUM,,,668
2008,CANAKKALE,VISNE,,,0
2008,CANAKKALE,AHUDUDU,,,1
2008,CANAKKALE,ARPA,,,108
2008,CANAKKALE,BOGURTLEN,,,1
2008,CANAKKALE,CEVIZ,,,3
2012,ISTANBUL,BAL KABAGI,,,1
2008,CANAKKALE,NAR,,,0
2008,CANAKKALE,SOGAN,,,82
2008,CANAKKALE,TARHANA OTU,,,1
2008,CANAKKALE,YULAF,,,9
2008,CANAKKALE,ZEYTIN,,,2912
2008,CANAKKALE,BEZELYE,,,7
2008,CANAKKALE,FIG,,,358
2008,CANAKKALE,HAVUC,,,10
2008,CANAKKALE,ISIRGAN OTU,,,1
2008,CANAKKALE,KARPUZ,,,19
2008,CANAKKALE,KAVUN,,,19
2008,CANAKKALE,KIZILCIK,,,0
2008,CANAKKALE,PAPATYA,,,0
2008,CANAKKALE,PATATES,,,10
2008,CANAKKALE,REZENE,,,3
2008,CANAKKALE,YONCA,,,469
2008,CANAKKALE,ALIC,,,0
2008,CANAKKALE,BORULCE,,,3
2008,CANAKKALE,BROKOLI,,,13
2012,IZMIR,BAL KABAGI,,,1
2008,CANAKKALE,ENGINAR,,,25
2008,CANAKKALE,IHLAMUR,,,0
2008,CANAKKALE,KUZU KULAGI,,,2
2012,KOCAELI,BAL KABAGI,,,15
2008,CANAKKALE,MANTAR,,,1
